"Time (s)","Recording (a.u.)"
1.018750000E-2,-1.312255859E-3
1.020833333E-2,-1.281738281E-3
1.022916667E-2,-2.441406250E-3
1.025000000E-2,-2.258300781E-3
1.027083333E-2,-2.166748047E-3
1.029166667E-2,-2.136230469E-3
1.031250000E-2,-8.239746094E-4
1.033333333E-2,-1.342773438E-3
1.035416667E-2,-1.159667969E-3
1.037500000E-2,-1.251220703E-3
1.039583333E-2,-9.155273438E-4
1.041666667E-2,-7.629394531E-4
1.043750000E-2,-4.272460938E-4
1.045833333E-2,-3.051757812E-5
1.047916667E-2,-7.934570312E-4
1.050000000E-2,-6.103515625E-4
1.052083333E-2,-1.251220703E-3
1.054166667E-2,-1.525878906E-3
1.056250000E-2,-1.861572266E-3
1.058333333E-2,-2.288818359E-3
1.060416667E-2,-1.586914062E-3
1.062500000E-2,-1.678466797E-3
1.064583333E-2,-5.798339844E-4
1.066666667E-2,-9.765625000E-4
1.068750000E-2,-4.882812500E-4
1.070833333E-2,4.882812500E-4
1.072916667E-2,3.051757812E-4
1.075000000E-2,7.629394531E-4
1.077083333E-2,8.544921875E-4
1.079166667E-2,1.037597656E-3
1.081250000E-2,3.967285156E-4
1.083333333E-2,-2.441406250E-4
1.085416667E-2,3.051757812E-5
1.087500000E-2,-2.136230469E-4
1.089583333E-2,-1.831054688E-4
1.091666667E-2,3.662109375E-4
1.093750000E-2,5.187988281E-4
1.095833333E-2,9.460449219E-4
1.097916667E-2,9.765625000E-4
1.100000000E-2,5.493164062E-4
1.102083333E-2,4.272460938E-4
1.104166667E-2,5.187988281E-4
1.106250000E-2,5.187988281E-4
1.108333333E-2,3.356933594E-4
1.110416667E-2,6.408691406E-4
1.112500000E-2,7.019042969E-4
1.114583333E-2,2.136230469E-4
1.116666667E-2,6.713867188E-4
1.118750000E-2,4.882812500E-4
1.120833333E-2,4.882812500E-4
1.122916667E-2,5.798339844E-4
1.125000000E-2,3.967285156E-4
1.127083333E-2,7.934570312E-4
1.129166667E-2,8.544921875E-4
1.131250000E-2,3.662109375E-4
1.133333333E-2,1.159667969E-3
1.135416667E-2,7.019042969E-4
1.137500000E-2,1.098632812E-3
1.139583333E-2,4.272460938E-4
1.141666667E-2,-1.831054688E-4
1.143750000E-2,-1.525878906E-4
1.145833333E-2,-5.187988281E-4
1.147916667E-2,-6.103515625E-5
1.150000000E-2,-2.441406250E-4
1.152083333E-2,2.441406250E-4
1.154166667E-2,6.713867188E-4
1.156250000E-2,1.068115234E-3
1.158333333E-2,1.617431641E-3
1.160416667E-2,1.586914062E-3
1.162500000E-2,1.342773438E-3
1.164583333E-2,1.037597656E-3
1.166666667E-2,-5.187988281E-4
1.168750000E-2,7.934570312E-4
1.170833333E-2,5.493164062E-4
1.172916667E-2,7.019042969E-4
1.175000000E-2,5.493164062E-4
1.177083333E-2,7.324218750E-4
1.179166667E-2,1.586914062E-3
1.181250000E-2,1.098632812E-3
1.183333333E-2,2.014160156E-3
1.185416667E-2,1.831054688E-3
1.187500000E-2,1.892089844E-3
1.189583333E-2,1.342773438E-3
1.191666667E-2,7.019042969E-4
1.193750000E-2,9.765625000E-4
1.195833333E-2,8.239746094E-4
1.197916667E-2,8.850097656E-4
1.200000000E-2,9.155273438E-4
1.202083333E-2,4.272460938E-4
1.204166667E-2,6.103515625E-4
1.206250000E-2,9.765625000E-4
1.208333333E-2,9.460449219E-4
1.210416667E-2,1.312255859E-3
1.212500000E-2,1.312255859E-3
1.214583333E-2,1.190185547E-3
1.216666667E-2,1.495361328E-3
1.218750000E-2,9.460449219E-4
1.220833333E-2,1.403808594E-3
1.222916667E-2,4.882812500E-4
1.225000000E-2,5.493164062E-4
1.227083333E-2,2.136230469E-4
1.229166667E-2,5.187988281E-4
1.231250000E-2,1.037597656E-3
1.233333333E-2,1.373291016E-3
1.235416667E-2,1.953125000E-3
1.237500000E-2,1.495361328E-3
1.239583333E-2,1.770019531E-3
1.241666667E-2,1.861572266E-3
1.243750000E-2,1.586914062E-3
1.245833333E-2,1.159667969E-3
1.247916667E-2,1.617431641E-3
1.250000000E-2,1.190185547E-3
1.252083333E-2,1.770019531E-3
1.254166667E-2,9.460449219E-4
1.256250000E-2,1.251220703E-3
1.258333333E-2,1.434326172E-3
1.260416667E-2,6.408691406E-4
1.262500000E-2,1.251220703E-3
1.264583333E-2,1.068115234E-3
1.266666667E-2,8.850097656E-4
1.268750000E-2,3.356933594E-4
1.270833333E-2,5.798339844E-4
1.272916667E-2,7.324218750E-4
1.275000000E-2,1.434326172E-3
1.277083333E-2,2.075195312E-3
1.279166667E-2,1.800537109E-3
1.281250000E-2,2.685546875E-3
1.283333333E-2,1.159667969E-3
1.285416667E-2,2.136230469E-4
1.287500000E-2,-2.136230469E-4
1.289583333E-2,-5.187988281E-4
1.291666667E-2,7.324218750E-4
1.293750000E-2,3.662109375E-4
1.295833333E-2,7.934570312E-4
1.297916667E-2,9.155273438E-5
1.300000000E-2,-5.187988281E-4
1.302083333E-2,-6.103515625E-4
1.304166667E-2,-1.617431641E-3
1.306250000E-2,-1.495361328E-3
1.308333333E-2,-2.166748047E-3
1.310416667E-2,-1.098632812E-3
1.312500000E-2,-1.037597656E-3
1.314583333E-2,-5.798339844E-4
1.316666667E-2,-1.403808594E-3
1.318750000E-2,-9.155273438E-4
1.320833333E-2,3.051757812E-5
1.322916667E-2,-8.850097656E-4
1.325000000E-2,4.577636719E-4
1.327083333E-2,-7.934570312E-4
1.329166667E-2,1.220703125E-4
1.331250000E-2,-4.577636719E-4
1.333333333E-2,-1.159667969E-3
1.335416667E-2,-5.798339844E-4
1.337500000E-2,-1.586914062E-3
1.339583333E-2,-2.136230469E-4
1.341666667E-2,-9.155273438E-4
1.343750000E-2,-7.934570312E-4
1.345833333E-2,-3.051757812E-5
1.347916667E-2,-2.441406250E-4
1.350000000E-2,-3.051757812E-4
1.352083333E-2,-1.007080078E-3
